year,type,authors,title,journal,volume,issue,pages,doi,url,category,selected,badges,image,summary_ja,summary_en
2026,peer-reviewed,M. Nogamida and H. Mori,Quantum Chemical Insights into the Initial Reaction Pathways Governing the Self-Ignition of Hypergolic Ionic Liquids with H2O2,ACS Omega,11,25,37982–37987,10.1021/acsomega.6c03360,https://doi.org/10.1021/acsomega.6c03360,Autonomous Reaction Discovery,False,Open Access,assets/images/pub-hypergolic.svg,過酸化水素との自己着火を支配する超原子価イオン液体の初期反応経路を量子化学的に解析。,Quantum-chemical analysis of the initial reaction pathways governing self-ignition of hypergolic ionic liquids with hydrogen peroxide.
2026,peer-reviewed,"T. Sumiyoshi, N. Kuroki, and H. Mori",Electronic-Structure Informatics Guided Identification of Actinide/Lanthanide Selectivity Factors,Inorganic Chemistry,65,14,7592–7602,10.1021/acs.inorgchem.5c05680,https://doi.org/10.1021/acs.inorgchem.5c05680,Electronic-State Intelligence,True,Open Access,assets/images/pub-informatics.svg,電子状態インフォマティクスにより、アクチノイド／ランタノイド選択性を支配する因子を同定。,Electronic-structure informatics identifies factors governing actinide/lanthanide selectivity.
2026,peer-reviewed,"N. Ozawa, N. Kuroki, and H. Mori",Ligand-Induced Electronic Response Enables Predictive QM/MM Simulations,Advanced Science,13,17,e19137,10.1002/advs.202519137,https://doi.org/10.1002/advs.202519137,Adaptive Quantum Simulation,True,Open Access,assets/images/pub-qmmm.svg,配位子誘起電子応答に基づいてQM/MM計算の量子領域を予測的に定義する方法論。,A ligand-induced electronic-response framework for predictive definition of QM regions in QM/MM simulations.
2025,peer-reviewed,D. Goto and H. Mori,Reconciling Color Purity and Redox Potential in Electrochromic Materials via Electronic-State-Informed Molecular Design,Chemical Communications,61,,16010–16013,10.1039/D5CC04421A,https://doi.org/10.1039/D5CC04421A,Electronic-State Intelligence,True,,assets/images/pub-color.svg,電子状態に基づく分子設計により、色純度と酸化還元電位の両立を実現。,Electronic-state-informed molecular design reconciles color purity and redox potential.
2025,peer-reviewed,K. Motoki and H. Mori,Electronic Insights into the Role of Nuclear Quantum Effects in Proton Transfer Reactions of Nucleobase Pairs,Physical Chemistry Chemical Physics,27,,8898–8902,10.1039/D5CP00698H,https://doi.org/10.1039/D5CP00698H,Beyond Born–Oppenheimer Chemistry,True,,assets/images/pub-nqe.svg,核量子効果が核酸塩基対のプロトン移動反応に与える電子構造的影響を解明。,Electronic-structure analysis of nuclear quantum effects in proton transfer reactions of nucleobase pairs.
2025,peer-reviewed,R. Suzuki and H. Mori,Acidity Prediction in Arbitrary Solvents: Machine Learning Based on Semiempirical Molecular Orbital Calculation,The Journal of Physical Chemistry A,129,10,2612–2617,10.1021/acs.jpca.4c07367,https://doi.org/10.1021/acs.jpca.4c07367,Electronic-State Intelligence,True,Cover,assets/images/pub-acidity.svg,半経験的分子軌道計算と機械学習を統合し、任意溶媒中の酸性度を予測。,Machine learning informed by semiempirical molecular orbital calculations predicts acidity in arbitrary solvents.
2025,peer-reviewed,"D. Goto, Y. Kanebako, K. Takashima, N. Kuroki, and H. Mori",Realizing Ultrafine Color Tuning of Organic Electronics Materials by Electronic State Informatics,The Journal of Physical Chemistry Letters,16,9,2419–2424,10.1021/acs.jpclett.4c03519,https://doi.org/10.1021/acs.jpclett.4c03519,Electronic-State Intelligence,True,Cover,assets/images/pub-informatics.svg,電子状態記述子と機械学習により、有機エレクトロニクス材料の超精密な色調制御を実現。,Electronic-state informatics enables ultrafine color tuning of organic electronic materials.
2025,preprint,K. Motoki and H. Mori,Beyond Born–Oppenheimer Pharmaceutical Quantum Chemistry of Thalidomide Analogs and Deuterium Substituents,ChemRxiv,,,,,https://chemrxiv.org/engage/chemrxiv/article-details/647469034f8b1884b775b20f,Beyond Born–Oppenheimer Chemistry,False,Preprint,assets/images/pub-nqe.svg,サリドマイド類縁体と重水素置換体を対象とするBorn–Oppenheimer近似を超えた医薬品量子化学。,Beyond-Born–Oppenheimer pharmaceutical quantum chemistry of thalidomide analogs and deuterated substituents.
2024,peer-reviewed,D. Goto and H. Mori,Avoiding Photocyclized Degradation of Electrochromic Materials Based on Quantum Chemical Molecular Design,The Journal of Physical Chemistry Letters,15,32,8205–8210,10.1021/acs.jpclett.4c01783,https://doi.org/10.1021/acs.jpclett.4c01783,Electronic-State Intelligence,False,Cover,assets/images/pub-color.svg,量子化学的分子設計により、エレクトロクロミック材料の光環化劣化を回避。,Quantum-chemical molecular design avoids photocyclized degradation in electrochromic materials.
2024,invited-review,"M. Nogamida, N. Kuroki, and H. Mori",Effect of Anion Electronic State on the Hypergolic Ionic Liquids’ Reaction Pathways,Journal of the Combustion Society of Japan,66,217,199–202,,https://www.jstage.jst.go.jp/article/jcombsj/66/217/66_2402a/_article/-char/en,Autonomous Reaction Discovery,False,Invited,assets/images/pub-hypergolic.svg,超原子価イオン液体の反応経路に対するアニオン電子状態の影響を概説。,An invited overview of how anion electronic states affect reaction pathways of hypergolic ionic liquids.
2023,peer-reviewed,"S. Watabe, N. Kuroki, and H. Mori",COSMO-RS Exploration of Highly CO2-Selective Hydrogen-Bonded Binary Liquid Absorbents under Humid Conditions: Role of Trace Ionic Species,ACS Omega,8,16,14478–14483,10.1021/acsomega.2c08250,https://doi.org/10.1021/acsomega.2c08250,Molecular and Materials Discovery,False,Open Access; Cover,assets/images/pub-co2.svg,湿潤条件下の高CO2選択性水素結合性二成分吸収液をCOSMO-RSで解析。,COSMO-RS exploration of highly CO2-selective hydrogen-bonded binary liquid absorbents under humid conditions.
2023,peer-reviewed,"N. Kuroki, D. Kodama, Y. Suzuki, F. Chowdhury, H. Yamada, and H. Mori",Machine Learning Boosted Design of Ionic Liquids for CO2 Absorption and Experimental Verification,The Journal of Physical Chemistry B,127,,2022–2027,10.1021/acs.jpcb.2c07305,https://doi.org/10.1021/acs.jpcb.2c07305,Molecular and Materials Discovery,True,Open Access; Cover; Most Downloaded,assets/images/pub-co2.svg,機械学習によるイオン液体設計を実験検証までつなげたCO2吸収材料研究。,Machine-learning-driven ionic-liquid design for CO2 absorption followed by experimental verification.
2023,peer-reviewed,F. Weber and H. Mori,On Donor–Acceptor-Bridging Intramolecular Hydrogen Bonds in NIR-TADF Molecules,RSC Advances,13,,3942–3946,,https://pubs.rsc.org/en/content/articlelanding/2023/ra/d2ra07630a,Electronic-State Intelligence,False,Open Access,assets/images/pub-informatics.svg,NIR-TADF分子におけるドナー–アクセプター架橋型分子内水素結合を解析。,Analysis of donor–acceptor-bridging intramolecular hydrogen bonds in NIR-TADF molecules.
2023,education,"N. Kuroki, Y. Mochizuki, and H. Mori","Practical Computational Chemistry Course for a Comprehensive Understanding of Organic, Inorganic, and Physical Chemistry: From Molecular Interactions to Chemical Reactions",Journal of Chemical Education,100,,647–654,10.1021/acs.jchemed.2c00837,https://doi.org/10.1021/acs.jchemed.2c00837,Chemical Education,False,Open Access; Inside Cover,assets/images/pub-informatics.svg,有機・無機・物理化学を横断して理解する実践的計算化学教育プログラム。,"A practical computational chemistry course integrating organic, inorganic, and physical chemistry."
2022,peer-reviewed,"K. Murata, H. Mori, and H. Fuwa",GIAO NMR Calculation-Driven Stereochemical Assignment of Marine Macrolide Natural Products: Assessment of the Performance of DP4 and DP4+ Analyses and Assignment of the Relative Configuration of Leptolyngbyalide A–C/Oscillariolide Macrolactone,Bulletin of the Chemical Society of Japan,95,,1775–1785,,,Molecular Structure and Reactivity,False,,assets/images/pub-informatics.svg,GIAO NMR計算とDP4/DP4+解析による海洋マクロライド天然物の立体化学帰属。,GIAO NMR and DP4/DP4+ analyses for stereochemical assignment of marine macrolide natural products.
2022,peer-reviewed,"N. Kuroki, Y. Uchino, T. Funakura, and H. Mori",Electronic Fluctuation in Physiological Solutions: Trimethylamine N-Oxide and tert-Butyl Alcohol,Scientific Reports,12,,19417,10.1038/s41598-022-24049-0,https://doi.org/10.1038/s41598-022-24049-0,Adaptive Quantum Simulation,False,Open Access,assets/images/pub-qmmm.svg,生理溶液中のTMAOとtert-ブチルアルコールにおける電子揺らぎを解析。,Electronic fluctuations in physiological solutions containing TMAO and tert-butyl alcohol.
2022,peer-reviewed,"Y. Suzuki, D. Kodama, H. Mori, N. Kuroki, F. Chowdhury, and H. Yamada",CO2/Hydrocarbon Selectivity of Trihexyl(tetradecyl)phosphonium-Based Ionic Liquids,Industrial & Engineering Chemistry Research,61,,16584–16592,10.1021/acs.iecr.2c02281,https://doi.org/10.1021/acs.iecr.2c02281,Molecular and Materials Discovery,False,,assets/images/pub-co2.svg,ホスホニウム系イオン液体のCO2／炭化水素選択性を評価。,Evaluation of CO2/hydrocarbon selectivity in phosphonium-based ionic liquids.
2022,peer-reviewed,F. Weber and H. Mori,Machine-Learning Assisted Design Principle Search for Singlet Fission: An Example Study of Cibalackrot,npj Computational Materials,8,,176,10.1038/s41524-022-00860-1,https://doi.org/10.1038/s41524-022-00860-1,Electronic-State Intelligence,False,Open Access,assets/images/pub-informatics.svg,機械学習を用いてシングレットフィッション材料の設計原理を探索。,Machine-learning-assisted discovery of design principles for singlet-fission materials.
